First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Contract Started,Contract Length,Remaining Years,Value,Remaining Value,Fantasy Points,
Joshua,Palmer,WR,LAC ,23,81.82,"Throwin' Bombs, Bangin' Moms",2022,1,1,150000,150000,3.00,
Kenny,Pickett,QB,PIT ,24,90.91,"Throwin' Bombs, Bangin' Moms",2022,1,1,500000,500000,0.00,
Drake,London,WR,ATL ,21,99.86,"Throwin' Bombs, Bangin' Moms",2022,3,3,31500000,31500000,12.00,
Rhamondre,Stevenson,RB,NE  ,24,99.16,"Throwin' Bombs, Bangin' Moms",2022,1,1,8000000,8000000,4.00,
Nyheim,Hines,RB,IND ,26,91.33,"Throwin' Bombs, Bangin' Moms",2022,1,1,1500000,1500000,11.00,
Chase,Edmonds,RB,MIA ,26,99.58,"Throwin' Bombs, Bangin' Moms",2022,1,1,8000000,8000000,10.00,
Courtland,Sutton,WR,DEN ,27,100.00,"Throwin' Bombs, Bangin' Moms",2022,2,2,28000000,28000000,11.00,
Jason,Sanders,PK,MIA ,27,38.22,"Throwin' Bombs, Bangin' Moms",2022,1,1,1000000,1000000,8.00,
Irv,Smith Jr.,TE,MIN ,24,93.43,"Throwin' Bombs, Bangin' Moms",2022,1,1,2000000,2000000,0.00,
Justin,Jefferson,WR,MIN ,23,100.00,"Throwin' Bombs, Bangin' Moms",2022,4,4,203500000,203500000,39.00,
Miles,Sanders,RB,PHI ,25,99.58,"Throwin' Bombs, Bangin' Moms",2022,1,1,6500000,6500000,17.00,
Travis,Kelce,TE,KC  ,33,100.00,"Throwin' Bombs, Bangin' Moms",2022,2,2,76000000,76000000,26.00,
Brandin,Cooks,WR,HOU ,29,99.58,"Wetherby Whalers",2022,2,2,39000000,39000000,15.00,
Robbie,Gould,PK,SF  ,40,34.18,"Wetherby Whalers",2022,1,1,1000000,1000000,4.00,
Leonard,Fournette,RB,TB  ,27,100.00,"Wetherby Whalers",2022,2,2,49000000,49000000,15.00,
Corey,Davis,WR,NYJ ,27,80.84,"Wetherby Whalers",2022,1,1,500000,500000,13.00,
Kenyan,Drake,RB,BAL ,28,73.85,"Wetherby Whalers",2022,1,1,500000,500000,5.00,
Evan,Engram,TE,JAC ,28,83.36,"Wetherby Whalers",2022,1,1,1500000,1500000,6.00,
Ryan,Tannehill,QB,TEN ,34,84.06,"Wetherby Whalers",2022,1,1,500000,500000,18.00,
Tua,Tagovailoa,QB,MIA ,24,97.34,"Wetherby Whalers",2022,1,1,5000000,5000000,14.00,
Clyde,Edwards-Helaire,RB,KC  ,23,100.00,"Wetherby Whalers",2022,2,2,20000000,20000000,22.00,
A.J.,Brown,WR,PHI ,25,100.00,"Wetherby Whalers",2022,4,4,174000000,174000000,25.00,
Kyler,Murray,QB,ARI ,25,99.72,"Wetherby Whalers",2022,3,3,110000000,110000000,19.00,
Mike,Gesicki,TE,MIA ,27,95.38,"Wetherby Whalers",2022,3,3,20000000,20000000,1.00,
Mark,Andrews,TE,BAL ,27,100.00,"Wetherby Whalers",2022,4,4,142500000,142500000,10.00,
Calvin,Ridley,WR,ATL ,28,90.63,"Wetherby Whalers",2022,1,1,3000000,3000000,0.00,
D'Onta,Foreman,RB,CAR ,26,63.36,"Wetherby Whalers",2022,1,1,500000,500000,0.00,
Trey,Sermon,RB,PHI ,23,81.96,"Wetherby Whalers",2022,1,1,500000,500000,0.00,
DeVonta,Smith,WR,PHI ,24,100.00,"Wetherby Whalers",2022,3,3,67000000,67000000,0.00,
Ryan,Succop,PK,TB  ,36,74.73,"Wetherby Whalers",2022,1,1,3000000,3000000,13.00,
NE,Team Defense,DF,NE  ,0,93.50,"Wetherby Whalers",2022,1,1,3000000,3000000,4.00,
MIA,Team Defense,DF,MIA ,0,42.11,"Wetherby Whalers",2022,1,1,500000,500000,16.00,
GB,Team Defense,DF,GB  ,0,70.90,"WTFNFL",2022,2,2,2500000,2500000,1.00,
CIN,Team Defense,DF,CIN ,0,19.20,"WTFNFL",2022,1,1,500000,500000,2.00,
Calvin,Austin III,WR,PIT ,23,26.57,"WTFNFL",2022,1,1,100000,100000,0.00,
Darnell,Mooney,WR,CHI ,25,99.30,"WTFNFL",2022,2,2,44500000,44500000,1.00,
K.J.,Osborn,WR,MIN ,25,69.09,"WTFNFL",2022,1,1,500000,500000,4.00,
Mac,Jones,QB,NE  ,24,94.55,"WTFNFL",2022,1,1,1500000,1500000,10.00,
Cam,Akers,RB,LA  ,23,100.00,"WTFNFL",2022,3,3,45500000,45500000,0.00,
J.K.,Dobbins,RB,BAL ,24,99.86,"WTFNFL",2022,4,4,80500000,80500000,0.00,
AJ,Dillon,RB,GB  ,24,100.00,"WTFNFL",2022,1,1,25000000,25000000,19.00,
Michael,Carter,RB,NYJ ,23,99.30,"WTFNFL",2022,1,1,4500000,4500000,17.00,
Pat,Freiermuth,TE,PIT ,24,99.16,"WTFNFL",2022,2,2,24000000,24000000,12.00,
Davis,Mills,QB,HOU ,24,71.61,"WTFNFL",2022,1,1,250000,250000,16.00,
Harrison,Butker,PK,KC  ,27,97.03,"WTFNFL",2022,1,1,3500000,3500000,9.00,
Lamar,Jackson,QB,BAL ,25,99.72,"WTFNFL",2022,4,4,150000000,150000000,20.00,
