First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Fantasy Points,Pass Yards,Rush Yards,Rec Yards,Pass TDs,Rush TDs,Rec TDs,Pass Comp,Pass Att,Rush Att,Receptions,INTs,INT TDs,Fumbles Lost,Sacked,Sacked Yards,2-Point Pass Conv,2-Point Rush Conv,2-Point Rec Conv,FGs,FG Miss,PATs,PAT Miss,DEF Points Against,DEF INTs,DEF INT TDs,DEF Fum Rec,DEF Fum Rec TDs,DEF Yards Allowed,DEF Pass Yards Allowed,DEF Rush Yards Allowed,DEF Safety,DEF Sacks,DEF Tackles,DEF Blocked Punt,DEF Blocked FG,DEF Blocked PAT,DEF Blocked Punt TD,DEF Blocked FG TD,Kick Return Yards,Punt Return Yards,Kick Return TDs,Punt Return TDs,DP INT,DP INT TD,DP Fum Rec,DP Fum Rec TD,DP Tackle,DP Assist,DP Full Sack,DP Half Sack,DP Safety,DP TFL,DP Pass Def,FG <40,FG 40-49,FG 50+,Games Played,
Jameis,Winston,QB,NO  ,28,86.71,"GeekSquad",20.00,269,9,0,2,0,0,23,34,2,0,0,0,0,4,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Javonte,Williams,RB,DEN ,22,100.00,"The Real Slim Brady",20.00,0,43,65,0,0,0,0,0,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Jerry,Jeudy,WR,DEN ,23,100.00,"Goff My Lawn",20.00,0,0,102,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Lamar,Jackson,QB,BAL ,25,99.72,"WTFNFL",20.00,213,17,0,3,0,0,17,30,6,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Marcus,Mariota,QB,ATL ,29,49.09,"",20.00,215,72,0,0,1,0,20,33,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
AJ,Dillon,RB,GB  ,24,100.00,"WTFNFL",19.00,0,45,46,0,1,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Antonio,Gibson,RB,WAS ,24,99.72,"GeekSquad",19.00,0,58,72,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Curtis,Samuel,WR,WAS ,26,71.05,"Goff My Lawn",19.00,0,17,55,0,0,1,0,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Jahan,Dotson,WR,WAS ,22,98.60,"Goff My Lawn",19.00,0,-10,40,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
James,Robinson,RB,JAC ,24,98.88,"Deshaun's Day Spa",19.00,0,66,3,0,1,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
